  ID                   Tag  Name
   0               Cogmind  Cogmind
   1                 Drone  Drone
   2          Target Drone  Target Drone
   3            Mini Drone  Mini Drone
   4         Mapping Drone  Mapping Drone
   5          Sensor Drone  Sensor Drone
   6         Hacking Drone  Hacking Drone
   7     Minesniffer Drone  Minesniffer Drone
   8           Decoy Drone  Decoy Drone
   9          Splice Drone  Splice Drone
  10          Master Drone  Master Drone
  11        Advanced Drone  Advanced Drone
  12         Stealth Drone  Stealth Drone
  13           Trailblazer  Trailblazer
  14           Thief Drone  Thief Drone
  15            Army Drone  Army Drone
  16           Swarm Drone  Swarm Drone
  17          Combat Drone  Combat Drone
  18         Assault Drone  Assault Drone
  19            Bomb Drone  Bomb Drone
  20          Impact Drone  Impact Drone
  21              Wardrone  Wardrone
  22            DAS Turret  DAS Turret
  23       Autobeam Turret  Autobeam Turret
  24        Aperture Drone  Aperture Drone
  25         Bullet Turret  Bullet Turret
  26          Laser Turret  Laser Turret
  27          Shock Turret  Shock Turret
  28       Launcher Turret  Launcher Turret
  29          Blast Turret  Blast Turret
  30        Thermic Turret  Thermic Turret
  31           Nova Turret  Nova Turret
  32        Stealth Turret  Stealth Turret
  33         Hammer Turret  Hammer Turret
  34         Stasis Turret  Stasis Turret
  35         Shield Turret  Shield Turret
  36         Kinetic Drone  Kinetic Drone
  37         Thermal Drone  Thermal Drone
  38         Antisys Drone  Antisys Drone
  39              EX Drone  EX Drone
  40          Stasis Drone  Stasis Drone
  41             K-01 Serf  K-01 Serf
  42         U-05 Engineer  U-05 Engineer
  43        T-07 Excavator  T-07 Excavator
  44      A-02 Transporter  A-02 Transporter
  45         A-15 Conveyor  A-15 Conveyor
  46        A-27 Freighter  A-27 Freighter
  47        R-06 Scavenger  R-06 Scavenger
  48        R-10 Processor  R-10 Processor
  49              C-30 ARC  C-30 ARC
  50        C-45 Heavy ARC  C-45 Heavy ARC
  51          M-14 Sweeper  M-14 Sweeper
  52        M-22 Extractor  M-22 Extractor
  53         M-30 Cleanser  M-30 Cleanser
  54        M-13 Machinist  M-13 Machinist
  55            M-28 Smith  M-28 Smith
  56        M-36 Artificer  M-36 Artificer
  57       O-16 Technician  O-16 Technician
  58    O-24 Administrator  O-24 Administrator
  59         O-32 Director  O-32 Director
  60              N-00 Fly  N-00 Fly
  61          N-01 Spotter  N-01 Spotter
  62        N-04 Retriever  N-04 Retriever
  63            W-16 Scout  W-16 Scout
  64         W-25 Informer  W-25 Informer
  65              W-44 Eye  W-44 Eye
  66             S-10 Pest  S-10 Pest
  67            S-27 Virus  S-27 Virus
  68           S-43 Plague  S-43 Plague
  69           C-17 Slicer  C-17 Slicer
  70           C-35 Carver  C-35 Carver
  71        C-57 Dissector  C-57 Dissector
  72              E-15 Imp  E-15 Imp
  73        G-34 Mercenary  G-34 Mercenary
  74          G-47 Trooper  G-47 Trooper
  75          G-50 Soldier  G-50 Soldier
  76          G-67 Veteran  G-67 Veteran
  77         G-73 Enforcer  G-73 Enforcer
  78          B-36 Bruiser  B-36 Bruiser
  79        B-48 Gladiator  B-48 Gladiator
  80          B-60 Warrior  B-60 Warrior
  81         B-74 Champion  B-74 Champion
  82            L-31 Rogue  L-31 Rogue
  83          L-41 Fighter  L-41 Fighter
  84        L-61 Swordsman  L-61 Swordsman
  85           I-25 Savior  I-25 Savior
  86            I-36 Angel  I-36 Angel
  87        I-47 Archangel  I-47 Archangel
  88          C-55 Analyst  C-55 Analyst
  89           C-65 Expert  C-65 Expert
  90         Y-45 Defender  Y-45 Defender
  91         Y-54 Guardian  Y-54 Guardian
  92         Y-64 Sentinel  Y-64 Sentinel
  93           Y-72 Warden  Y-72 Warden
  94        D-53 Grenadier  D-53 Grenadier
  95        D-63 Destroyer  D-63 Destroyer
  96      D-83 Annihilator  D-83 Annihilator
  97       X-57 Shotgunner  X-57 Shotgunner
  98         X-62 Marksman  X-62 Marksman
  99      X-67 Chaingunner  X-67 Chaingunner
 100        X-72 Disruptor  X-72 Disruptor
 101           X-77 Beamer  X-77 Beamer
 102        X-82 Rainmaker  X-82 Rainmaker
 103          X-87 Electro  X-87 Electro
 104         H-55 Commando  H-55 Commando
 105           H-66 Slayer  H-66 Slayer
 106         H-77 Assassin  H-77 Assassin
 107       H-88 Terminator  H-88 Terminator
 108           P-60 Hacker  P-60 Hacker
 109             P-70 Sage  P-70 Sage
 110           P-80 Master  P-80 Master
 111         H-61 Shepherd  H-61 Shepherd
 112          H-71 Marshal  H-71 Marshal
 113         H-81 Overseer  H-81 Overseer
 114              Q-Series  Q-Series
 115            B-75 Beast  B-75 Beast
 116            B-86 Titan  B-86 Titan
 117          B-90 Cyclops  B-90 Cyclops
 118         B-99 Colossus  B-99 Colossus
 119          C-40 Crusher  C-40 Crusher
 120           Cetus Guard  Cetus Guard
 121      Quarantine Guard  Quarantine Guard
 122           Armor Guard  Armor Guard
 123              S7 Guard  S7 Guard
 124          Access Guard  Access Guard
 125               M Guard  M Guard
 126           M Shell/Atk  M Shell/Atk
 127           M Shell/Def  M Shell/Def
 128        Enhanced Grunt  Enhanced Grunt
 129       Enhanced Sentry  Enhanced Sentry
 130   Enhanced Demolisher  Enhanced Demolisher
 131       Enhanced Hunter  Enhanced Hunter
 132   Enhanced Programmer  Enhanced Programmer
 133     Enhanced Q-Series  Enhanced Q-Series
 134             Lightning  Lightning
 135               Thunder  Thunder
 136               Hotshot  Hotshot
 137           Decapitator  Decapitator
 138              Immortal  Immortal
 139              Overlord  Overlord
 140               Tracker  Tracker
 141     Combat Programmer  Combat Programmer
 142              V-Series  V-Series
 143                    V2  V2
 144          Investigator  Investigator
 145               Striker  Striker
 146                 SKR-2  SKR-2
 147           Executioner  Executioner
 148                 EXE-6  EXE-6
 149         Superbehemoth  Superbehemoth
 150               Alpha 7  Alpha 7
 151                 AP7-3  AP7-3
 152              Fortress  Fortress
 153                LRC-V4  LRC-V4
 154                LRC-V5  LRC-V5
 155                LRC-V6  LRC-V6
 156               P_Grunt  Protovariant G
 157             P_Duelist  Protovariant L
 158              P_Sentry  Protovariant Y
 159          P_Demolisher  Protovariant D
 160          P_Specialist  Protovariant X
 161              P_Hunter  Protovariant H
 162          P_Programmer  Protovariant P
 163               Artisan  Artisan
 164               Cobbler  Cobbler
 165            Subdweller  Subdweller
 166             Bolteater  Bolteater
 167            Federalist  Federalist
 168              Explorer  Explorer
 169                Ranger  Ranger
 170            Ranger_DRS  Ranger
 171                  Guru  Guru
 172             Scientist  Scientist
 173            Scrapper_3  Scrapper
 174            Scrapper_6  Scrapper
 175               Elite_4  Elite
 176               Elite_7  Elite
 177                Lugger  Lugger
 178            Scrapoid_3  Scrapoid
 179            Scrapoid_6  Scrapoid
 180            Scrapoid_8  Scrapoid
 181           Scraphulk_6  Scraphulk
 182           Scraphulk_8  Scraphulk
 183       Mutated Botcube  Mutated Botcube
 184 Large Mutated Botcube  Large Mutated Botcube
 185           Wyrm Statue  Wyrm Statue
 186               Zionite  Zionite
 187          Z-Technician  Z-Technician
 188             Z_Courier  Z-Courier
 189               Z_Recon  Z-Drone
 190             Z_Light_5  Z-Light
 191             Z_Light_7  Z-Light
 192             Z_Light_9  Z-Light
 193             Z_Heavy_5  Z-Heavy
 194             Z_Heavy_7  Z-Heavy
 195             Z_Heavy_9  Z-Heavy
 196        Z_Experiment_8  Z-Experimental
 197       Z_Experiment_10  Z-Experimental
 198             Assembler  Assembler
 199           Assembled_4  Assembled
 200           Assembled_7  Assembled
 201               Golem_8  Golem
 202               Golem_0  Golem
 203            Decomposer  Decomposer
 204               Packrat  Packrat
 205             Samaritan  Samaritan
 206              Tinkerer  Tinkerer
 207              Demented  Demented
 208               Furnace  Furnace
 209              Parasite  Parasite
 210               Thief_5  Thief
 211               Thief_7  Thief
 212             Surgeon_4  Surgeon
 213             Surgeon_6  Surgeon
 214                Wasp_5  Wasp
 215                Wasp_7  Wasp
 216                Thug_5  Thug
 217                Thug_7  Thug
 218              Savage_5  Savage
 219              Savage_7  Savage
 220             Butcher_5  Butcher
 221             Butcher_7  Butcher
 222             Bouncer_7  Bouncer
 223              Martyr_5  Martyr
 224              Martyr_7  Martyr
 225            Guerilla_5  Guerrilla
 226            Guerilla_7  Guerrilla
 227              Wizard_5  Wizard
 228              Wizard_7  Wizard
 229            Marauder_6  Marauder
 230            Marauder_8  Marauder
 231             Fireman_5  Fireman
 232             Fireman_7  Fireman
 233              Mutant_5  Mutant
 234              Mutant_6  Mutant
 235              Mutant_7  Mutant
 236              Mutant_8  Mutant
 237         Infiltrator_6  Infiltrator
 238         Infiltrator_7  Infiltrator
 239         Infiltrator_8  Infiltrator
 240                Sapper  Sapper
 241             Commander  Commander
 242                Knight  Knight
 243                 Troll  Troll
 244                Dragon  Dragon
 245                 Hydra  Hydra
 246               Borebot  Borebot
 247                8R-AWN  8R-AWN
 248                EX-BIN  EX-BIN
 249                EX-DEC  EX-DEC
 250                EX-HEX  EX-HEX
 251                YI-UF0  YI-UF0
 252                01-MTF  01-MTF
 253                KN-7UR  KN-7UR
 254        Warlord Statue  Warlord Statue
 255                Warbot  Warbot
 256                5H-AD0  5H-AD0
 257          Surveybot 24  Surveybot 24
 258                AZ-K3N  AZ-K3N
 259                HV-R5K  HV-R5K
 260                7R-MNS  7R-MNS
 261                VL-GR5  VL-GR5
 262                LV-01A  LV-01A
 263                DD-05H  DD-05H
 264          Zion_Hero_01  CL-ANK
 265          Zion_Hero_02  1C-UTU
