  ID                          Tag  Name
   0              Concrete Rubble  Concrete Rubble
   1                 Metal Rubble  Metal Rubble
   2         Unfinished Machinery  Unfinished Machinery
   3           GENERIC_MACHINE_10  Machine
   4            GENERIC_MACHINE_9  Machine
   5            GENERIC_MACHINE_8  Machine
   6            GENERIC_MACHINE_7  Machine
   7            GENERIC_MACHINE_6  Machine
   8            GENERIC_MACHINE_5  Machine
   9            GENERIC_MACHINE_4  Machine
  10            GENERIC_MACHINE_3  Machine
  11            GENERIC_MACHINE_2  Machine
  12            GENERIC_MACHINE_1  Machine
  13             Terminal vFe.01a  Terminal
  14             Terminal vNi.03a  Terminal
  15             Terminal vCu.03a  Terminal
  16             Terminal vZn.06a  Terminal
  17             Terminal vAg.06a  Terminal
  18             Terminal vTi.06n  Terminal
  19             Terminal vCo.08n  Terminal
  20             Terminal vMn.10n  Terminal
  21             Terminal vMo.07n  Terminal
  22             Terminal vPd.10n  Terminal
  23             Terminal vCd.08n  Terminal
  24             Terminal vZr.10n  Terminal
  25              Terminal vY.10n  Terminal
  26              Terminal vW.10x  Terminal
  27             Terminal vIr.12x  Terminal
  28             Terminal vPt.12x  Terminal
  29             Terminal vAu.13x  Terminal
  30             Terminal vHg.20x  Terminal
  31             Terminal vRh.10x  Terminal
  32           Fabricator vLi.07a  Fabricator
  33           Fabricator vNa.07a  Fabricator
  34            Fabricator vK.08a  Fabricator
  35           Fabricator vCs.10n  Fabricator
  36           Fabricator vBe.12n  Fabricator
  37           Fabricator vMg.13n  Fabricator
  38           Fabricator vCa.14x  Fabricator
  39           Fabricator vSr.14x  Fabricator
  40           Fabricator vBa.16x  Fabricator
  41           Fabricator vRa.19x  Fabricator
  42               Repair vAl.08a  Repair Station
  43               Repair vGa.08a  Repair Station
  44               Repair vIn.08a  Repair Station
  45               Repair vSn.08n  Repair Station
  46               Repair vTl.10n  Repair Station
  47               Repair vPb.11n  Repair Station
  48               Repair vBi.12x  Repair Station
  49               Repair vPo.13x  Repair Station
  50             Recycling vH.06a  Recycling Unit
  51             Recycling vN.06a  Recycling Unit
  52             Recycling vO.08n  Recycling Unit
  53             Recycling vF.08n  Recycling Unit
  54             Recycling vP.10x  Recycling Unit
  55             Recycling vI.14x  Recycling Unit
  56           Scanalyzer vHe.07a  Scanalyzer
  57           Scanalyzer vNe.13n  Scanalyzer
  58           Scanalyzer vAr.15x  Scanalyzer
  59           Scanalyzer vXe.13x  Scanalyzer
  60              Garrison vCe.6a  Garrison Access
  61              Garrison vPr.8a  Garrison Access
  62              Garrison vNd.9n  Garrison Access
  63              Garrison vPm.7n  Garrison Access
  64             Garrison vSm.13x  Garrison Access
  65              Garrison vEu.9x  Garrison Access
  66                           T1  Derelict Terminal
  67               Core Extractor  Core Extractor
  68                   Pulverizer  Pulverizer
  69                  Laser Drill  Laser Drill
  70              Plasma Injector  Plasma Injector
  71       Seismic Survey Station  Seismic Survey Station
  72                  Matter Pump  Matter Pump
  73              Pressure Siphon  Pressure Siphon
  74              Nuclear Reactor  Nuclear Reactor
  75             Neutrino Reactor  Neutrino Reactor
  76             Fusion Modulator  Fusion Modulator
  77            Quantum Generator  Quantum Generator
  78          Dark Matter Chamber  Dark Matter Chamber
  79          Hypermatter Reactor  Hypermatter Reactor
  80            Compression Vault  Compression Vault
  81            Component Storage  Component Storage
  82                Holding Depot  Holding Depot
  83              Packing Station  Packing Station
  84                Arsenal Racks  Arsenal Racks
  85         Extraspacial Lockers  Extraspacial Lockers
  86                Energy Cycler  Energy Cycler
  87          Transport Mainframe  Transport Mainframe
  88               Transfer Shaft  Transfer Shaft
  89             Hadron Collector  Hadron Collector
  90         Electrolysis Chamber  Electrolysis Chamber
  91              Processing Tank  Processing Tank
  92            Atomic Centrifuge  Atomic Centrifuge
  93         Purification Channel  Purification Channel
  94          Integration Channel  Integration Channel
  95           Material Processor  Material Processor
  96           Material Compactor  Material Compactor
  97                Matter Filter  Matter Filter
  98      Manufacturing Mainframe  Manufacturing Mainframe
  99        Construction Platform  Construction Platform
 100                 Assembly Bed  Assembly Bed
 101               Megafabricator  Megafabricator
 102      Subcomponent Replicator  Subcomponent Replicator
 103                Power Conduit  Power Conduit
 104           Research Mainframe  Research Mainframe
 105       Antiparticle Reservoir  Antiparticle Reservoir
 106             Reaction Chamber  Reaction Chamber
 107               Vacuum Chamber  Vacuum Chamber
 108          Subatomic Condenser  Subatomic Condenser
 109                   Catalytron  Catalytron
 110              Meson Extractor  Meson Extractor
 111          Antimatter Diverter  Antimatter Diverter
 112            Field Manipulator  Field Manipulator
 113         Particle Synthesizer  Particle Synthesizer
 114            Quantum Separator  Quantum Separator
 115             Wave Intensifier  Wave Intensifier
 116         Proton Scatter Basin  Proton Scatter Basin
 117              Ion Accelerator  Ion Accelerator
 118       Magnetic Photon System  Magnetic Photon System
 119                Hypercollider  Hypercollider
 120          Graviton Restrictor  Graviton Restrictor
 121          Potential Refractor  Potential Refractor
 122          Prototyping Station  Prototyping Station
 123          Engineering Station  Engineering Station
 124            Biostasis Chamber  Biostasis Chamber
 125          Organic Neutralizer  Organic Neutralizer
 126           Containment Shield  Containment Shield
 127            Testing Mainframe  Testing Mainframe
 128       Sonic Impulse Analyzer  Sonic Impulse Analyzer
 129                 Field Warper  Field Warper
 130               Gravity Sphere  Gravity Sphere
 131          Quantum Transformer  Quantum Transformer
 132                    Focalizer  Focalizer
 133            Phase Constrictor  Phase Constrictor
 134            Resonance Scanner  Resonance Scanner
 135                  Tau Charger  Tau Charger
 136     Harmonic Fracturing Unit  Harmonic Fracturing Unit
 137        Antiparticle Suffusor  Antiparticle Suffusor
 138       Thermocompressor Array  Thermocompressor Array
 139             Cryocooling Duct  Cryocooling Duct
 140             Forge Negotiator  Forge Negotiator
 141          Protoware Simulator  Protoware Simulator
 142        Concept Prefabricator  Concept Prefabricator
 143            Positron Recycler  Positron Recycler
 144       Pattern Transfigurator  Pattern Transfigurator
 145           Metamorphosis Tank  Metamorphosis Tank
 146             Yield Oscillator  Yield Oscillator
 147                Build Unifier  Build Unifier
 148                  Frame Tuner  Frame Tuner
 149               Microcatalyzer  Microcatalyzer
 150             Artifact Storage  Artifact Storage
 151        Cryopreservation Unit  Cryopreservation Unit
 152                 Biostim Tank  Biostim Tank
 153               Quarantine Pod  Quarantine Pod
 154              Aeration Cycler  Aeration Cycler
 155          Deconstruction Unit  Deconstruction Unit
 156                   Anatomizer  Anatomizer
 157                Cloning Tubes  Cloning Tubes
 158               Cell Assembler  Cell Assembler
 159       Molecular Binding Bank  Molecular Binding Bank
 160             Anti-Ion Cluster  Anti-Ion Cluster
 161              Deuterium Array  Deuterium Array
 162                    Mainframe  Mainframe
 163                      Storage  Storage
 164         Retrofitting Station  Retrofitting Station
 165                Signal Jammer  Signal Jammer
 166              Cloak Generator  Cloak Generator
 167            Decryption Engine  Decryption Engine
 168             Backup Mainframe  Backup Mainframe
 169                 Archive Unit  Archive Unit
 170                 Control Node  Control Node
 171         Operations Mainframe  Operations Mainframe
 172               Quantum Router  Quantum Router
 173            Hyperwave Decoder  Hyperwave Decoder
 174      Sealed Freight Elevator  Sealed Freight Elevator
 175          Radio-Gravity Array  Radio-Gravity Array
 176         Anti-Orbital Battery  Anti-Orbital Battery
 177         Spectral Interrupter  Spectral Interrupter
 178       Wave Collapse Detector  Wave Collapse Detector
 179                Signal Shield  Signal Shield
 180          Longscan Aggregator  Longscan Aggregator
 181                   Blade Trap  Blade Trap
 182              Segregator Trap  Segregator Trap
 183               Explosive Trap  Explosive Trap
 184         Heavy Explosive Trap  Heavy Explosive Trap
 185             Tiamat Bomb Trap  Tiamat Bomb Trap
 186             Fusion Bomb Trap  Fusion Bomb Trap
 187                Hellfire Trap  Hellfire Trap
 188              Armageddon Trap  Armageddon Trap
 189              Dirty Bomb Trap  Dirty Bomb Trap
 190                     EMP Trap  EMP Trap
 191             Proton Bomb Trap  Proton Bomb Trap
 192              Tesla Bomb Trap  Tesla Bomb Trap
 193              Gamma Bomb Trap  Gamma Bomb Trap
 194                Shrapnel Trap  Shrapnel Trap
 195                  Vortex Trap  Vortex Trap
 196                Piercing Trap  Piercing Trap
 197                   Shock Trap  Shock Trap
 198                EM Surge Trap  EM Surge Trap
 199                    Fire Trap  Fire Trap
 200               Heat Bomb Trap  Heat Bomb Trap
 201                  Stasis Trap  Stasis Trap
 202                   Alarm Trap  Alarm Trap
 203                  Ambush Trap  Ambush Trap
 204                   Chute Trap  Chute Trap
 205             Collapsed Tunnel  Collapsed Tunnel
 207                Door Terminal  Door Terminal
 208                   DSF Access  DSF Access
 209                      TF Node  TF Node
 210          Broken Shaft Lining  Broken Shaft Lining
 211          XXX_Blast_Door_Open  Blast Doors
 212      XXX_Blast_Door_Hackable  Sealed Blast Doors
 213       ACC_Door_Shootable_SUR  Sealed Heavy Doors
